Date,Open,High,Low,Close,Volume,Adj Close
2007-06-04,100.11,100.12,97.95,98.81,2101800,39.178
2007-06-01,98.51,99.99,98.43,99.44,1459800,39.428
2007-05-31,100.07,100.99,96.60,97.81,2559100,38.782
2007-05-30,100.01,100.93,98.90,99.65,912800,39.511
2007-05-29,100.00,101.30,99.68,100.24,1296200,39.745
2007-05-28,99.87,99.87,99.87,99.87,000,39.599
2007-05-25,99.51,100.37,98.52,99.87,1712100,39.599
2007-05-24,97.20,99.65,96.20,98.26,1817200,38.96
2007-05-23,95.69,96.92,95.60,96.30,1079700,38.183
2007-05-22,97.05,97.20,95.75,96.18,803900,38.136
2007-05-21,98.36,98.36,96.15,96.48,1323000,38.255
2007-05-18,98.30,98.60,96.10,97.18,1364900,38.532
2007-05-17,98.05,98.33,97.66,98.02,807400,38.865
2007-05-16,97.76,98.91,96.50,98.24,1943000,38.952
2007-05-15,97.09,99.60,97.09,98.75,1618100,39.155
2007-05-14,100.50,102.25,97.00,97.50,2396000,38.659
2007-05-11,97.99,98.90,96.37,98.19,891800,38.933
2007-05-10,98.30,99.63,98.00,98.75,1110000,39.155
2007-05-09,99.03,99.50,97.76,97.82,652600,38.786
2007-05-08,100.02,100.80,97.00,98.24,1367900,38.952
2007-05-07,99.51,101.00,98.00,100.00,691500,39.65
2007-05-04,96.64,101.81,95.98,100.05,2475300,39.67
2007-05-03,97.90,97.90,94.67,96.64,1802600,38.318
2007-05-02,98.95,99.86,96.62,97.25,1401800,38.56
2007-05-01,97.83,97.83,97.83,97.83,000,38.79
2007-04-30,97.71,99.30,96.94,97.83,919800,38.79
2007-04-27,99.65,99.95,98.00,98.55,946200,39.075
2007-04-26,100.13,102.30,99.25,100.14,1481700,39.706
2007-04-25,95.50,100.20,95.16,100.01,2677200,39.654
2007-04-24,96.30,96.70,94.73,95.68,1337000,37.937
2007-04-23,96.50,96.70,94.63,96.43,1016700,38.235
2007-04-20,95.70,96.74,95.07,95.77,1331200,37.973
2007-04-19,96.90,97.47,94.36,95.52,1643600,37.874
2007-04-18,96.76,98.59,96.27,96.58,1100900,38.294
2007-04-17,97.19,97.77,95.40,96.76,2059000,38.366
2007-04-16,97.75,99.74,97.75,98.96,750500,39.238
2007-04-13,98.10,98.98,97.17,97.74,839900,38.754
2007-04-12,98.50,98.70,96.07,96.83,1961200,38.393
2007-04-11,98.00,100.10,97.85,99.29,1312100,39.369
2007-04-10,99.13,101.20,98.85,100.10,956200,39.69
2007-04-09,98.66,98.66,98.66,98.66,000,39.119
2007-04-06,98.66,98.66,98.66,98.66,000,39.119
2007-04-05,99.86,99.90,98.30,98.66,629700,39.119
2007-04-04,99.54,99.95,98.50,99.47,1190500,39.44
2007-04-03,97.79,97.79,96.33,97.33,1015000,38.592
2007-04-02,94.80,97.20,94.80,96.35,647300,38.203
2007-03-30,95.25,97.40,94.57,96.52,861500,38.27
2007-03-29,96.73,97.45,94.98,95.98,837400,38.056
2007-03-28,96.21,96.99,95.16,95.30,781300,37.787
2007-03-27,96.25,98.70,95.41,96.23,759500,38.155
2007-03-26,96.99,97.20,93.63,96.35,1243000,38.203
2007-03-23,95.10,99.80,95.10,97.00,2314000,38.461
2007-03-22,94.49,95.67,93.01,94.59,1102200,37.505
2007-03-21,92.13,93.79,92.13,93.44,927100,37.049
2007-03-20,93.25,93.78,91.53,93.40,1384800,37.033
2007-03-19,92.25,93.50,91.63,91.89,979800,36.435
2007-03-16,91.51,92.43,91.25,91.67,2100500,36.347
2007-03-15,92.44,94.40,91.90,92.31,1181700,36.601
2007-03-14,91.75,93.20,90.30,91.50,1875400,36.28
2007-03-13,93.75,94.79,93.05,93.61,894800,37.117
2007-03-12,94.50,95.10,92.21,94.18,1242100,37.343
2007-03-09,95.66,95.90,92.80,93.82,1448700,37.20
2007-03-08,95.00,95.95,94.55,95.39,1234800,37.822
2007-03-07,94.00,96.20,92.40,93.50,1038600,37.073
2007-03-06,92.25,93.10,90.71,92.70,1361100,36.756
2007-03-05,88.20,92.25,87.65,91.95,1760600,36.458
2007-03-02,92.80,93.78,89.50,90.39,2286000,35.84
2007-03-01,95.20,96.00,89.07,91.87,3052800,36.427
2007-02-28,89.20,94.77,88.50,94.05,3109300,37.291
2007-02-27,94.90,96.00,92.05,92.00,1976000,36.478
2007-02-26,95.76,97.00,95.05,95.93,1167500,38.037
2007-02-23,96.26,97.36,96.26,96.85,913000,38.401
2007-02-22,97.99,98.35,96.50,96.50,1088900,38.263
2007-02-21,97.22,100.43,96.97,97.70,1799400,38.738
2007-02-20,95.41,97.00,95.20,96.89,1129500,38.417
2007-02-19,96.17,97.00,95.55,96.27,1142600,38.171
2007-02-16,95.78,97.50,95.25,96.72,1897100,38.35
2007-02-15,93.87,97.49,93.07,97.06,1894800,38.485
2007-02-14,92.28,93.84,92.25,93.84,1238500,37.208
2007-02-13,91.46,93.15,91.06,92.42,1286200,36.645
2007-02-12,91.85,91.85,89.74,90.70,829800,35.963
2007-02-09,90.85,91.49,89.93,90.86,763600,36.026
2007-02-08,91.15,91.35,89.42,90.18,915600,35.757
2007-02-07,91.54,92.50,90.13,90.50,1085700,35.883
2007-02-06,90.65,92.75,90.00,91.74,1543500,36.375
2007-02-05,89.94,91.18,89.15,90.63,1274500,35.935
2007-02-02,88.95,89.88,88.62,89.53,1347100,35.499
2007-02-01,89.99,89.99,88.32,89.40,1420200,35.447
2007-01-31,90.00,90.20,89.26,89.46,1298200,35.471
2007-01-30,90.65,90.65,89.35,90.06,1434000,35.709
2007-01-29,88.92,90.89,88.92,90.30,1211000,35.804
2007-01-26,89.49,89.82,88.26,89.40,1299000,35.447
2007-01-25,92.12,92.50,89.25,89.82,2181100,35.614
2007-01-24,87.40,92.14,87.40,91.70,2930400,36.359
2007-01-23,89.05,89.96,88.78,89.32,1619300,35.416
2007-01-22,87.38,89.88,87.02,89.30,1584600,35.408
2007-01-19,88.05,89.26,87.15,87.38,1543200,34.646
2007-01-18,90.30,91.20,87.10,87.96,1906900,34.876
2007-01-17,88.75,90.00,87.76,89.53,1106200,35.499
2007-01-16,89.78,89.97,88.50,89.06,775000,35.313
2007-01-15,88.00,89.50,87.75,89.04,643200,35.305
2007-01-12,86.49,88.57,86.20,87.48,950100,34.686
2007-01-11,87.18,87.18,85.76,85.95,884400,34.079
2007-01-10,87.80,90.00,86.74,86.74,2438100,34.393
2007-01-09,85.90,87.40,85.46,86.23,1304900,34.19
2007-01-08,86.20,86.31,84.28,85.30,1323800,33.822
2007-01-05,85.92,87.66,84.66,86.50,2074500,34.297
2007-01-04,82.01,86.39,81.86,85.99,3344600,34.095
2007-01-03,80.00,80.94,79.96,80.72,699100,32.006
2007-01-02,79.01,80.71,79.01,79.96,557900,31.704
2007-01-01,78.54,78.54,78.54,78.54,000,31.141
2006-12-29,79.50,79.50,78.50,78.54,194500,31.141
2006-12-28,79.21,79.57,78.50,79.09,500800,31.359
2006-12-27,79.11,79.85,78.66,79.17,735100,31.391
2006-12-26,79.06,79.06,79.06,79.06,000,31.348
2006-12-25,79.06,79.06,79.06,79.06,000,31.348
2006-12-22,79.63,80.13,78.10,79.06,652300,31.348
2006-12-21,79.77,80.99,79.69,80.10,737600,31.76
2006-12-20,81.57,81.81,79.79,80.30,948500,31.839
2006-12-19,81.84,82.60,80.72,81.16,799200,32.18
2006-12-18,82.00,83.16,81.65,82.68,1108100,32.783
2006-12-15,81.33,82.36,81.18,81.45,992000,32.295
2006-12-14,82.99,82.99,81.81,81.89,775200,32.47
2006-12-13,82.17,82.51,81.52,82.24,761000,32.608
2006-12-12,82.99,82.99,81.66,82.18,660900,32.585
2006-12-11,82.99,82.99,82.30,82.48,548400,32.704
2006-12-08,82.79,83.68,81.82,82.56,736600,32.735
2006-12-07,82.90,83.35,82.19,82.86,608900,32.854
2006-12-06,81.93,82.84,81.93,82.72,524200,32.799
2006-12-05,82.91,82.91,79.84,82.12,721100,32.561
2006-12-04,82.00,82.80,81.85,82.21,440000,32.596
2006-12-01,83.00,83.60,81.50,81.76,660200,32.418
2006-11-30,84.90,85.75,82.26,82.85,763000,32.85
2006-11-29,81.37,85.29,81.37,84.07,712500,33.334
2006-11-28,82.20,82.34,80.87,81.56,815800,32.339
2006-11-27,83.40,83.98,82.48,82.48,418400,32.704
2006-11-24,85.20,85.96,83.56,84.07,905500,33.334
